crew_id,stayover_outstation_count,deadhead_count,deadhead_position_count,inconsistent_location_count,insufficient_transfer_count,flight_task_limit,duty_task_limit,flight_time_limit,rest_time_limit,duty_time_limit,cycle_rule_count,total_duty_time_limit,unqualified_crew_count,total_duty_days,total_flight_time
Crew_10176,4,1,0,0,0,0,0,0,0,0,0,0,0,3,16.0
Crew_10177,5,1,0,0,0,0,0,0,0,0,0,0,0,5,20.633333333333333
Crew_10178,7,3,0,0,0,0,0,0,0,0,0,0,0,5,29.15
Crew_10179,7,0,0,0,0,0,0,0,0,0,0,0,0,5,28.549999999999997
Crew_10180,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.616666666666667
Crew_10181,6,0,0,0,0,0,0,0,0,0,0,0,0,5,23.48333333333333
Crew_10183,7,0,0,0,0,0,0,0,0,0,0,0,0,5,26.133333333333333
Crew_10185,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6.883333333333333
Crew_10186,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.883333333333333
Crew_10187,4,0,0,0,0,0,0,0,0,0,0,0,0,5,28.983333333333334
Crew_10188,4,0,0,0,0,0,0,0,0,0,0,0,0,5,26.200000000000006
Crew_10189,2,1,0,0,0,0,0,0,0,0,0,0,0,4,11.483333333333333
Crew_10190,4,1,0,0,0,0,0,0,0,0,0,0,0,5,31.15
Crew_10191,3,1,0,0,0,0,0,0,0,0,0,0,0,3,12.600000000000001
Crew_10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10194,5,0,0,0,0,0,0,0,0,0,0,0,0,5,28.966666666666665
Crew_10196,2,0,0,0,0,0,0,0,0,0,0,0,0,2,11.316666666666666
Crew_10197,4,0,0,0,0,0,0,0,0,0,0,0,0,5,28.53333333333334
Crew_10198,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.15
Crew_10199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10200,6,0,0,0,0,0,0,0,0,0,0,0,0,5,26.816666666666663
Crew_10202,2,0,0,0,0,0,0,0,0,0,0,0,0,3,17.71666666666667
Crew_10203,1,0,0,0,0,0,0,0,0,0,0,0,0,2,11.916666666666666
Crew_10204,7,0,0,0,0,0,0,0,0,0,0,0,0,5,27.55
Crew_10205,6,0,0,0,0,0,0,0,0,0,0,0,0,5,22.583333333333336
Crew_10206,3,1,0,0,0,0,0,0,0,0,0,0,0,3,17.683333333333334
Crew_10207,2,0,0,0,0,0,0,0,0,0,0,0,0,4,16.4
Crew_10208,6,4,0,0,0,0,0,0,0,0,0,0,0,4,22.766666666666666
Crew_10211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10212,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.383333333333333
Crew_10214,7,0,0,0,0,0,0,0,0,0,0,0,0,5,22.383333333333333
Crew_10215,7,0,0,0,0,0,0,0,0,0,0,0,0,5,31.950000000000003
Crew_10216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10219,3,0,0,0,0,0,0,0,0,0,0,0,0,5,30.76666666666667
Crew_10220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9833333333333325
Crew_10221,5,0,0,0,0,0,0,0,0,0,0,0,0,5,27.65
Crew_10223,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.766666666666667
Crew_10224,5,2,0,0,0,0,0,0,0,0,0,0,0,4,21.71666666666667
Crew_10225,5,0,0,0,0,0,0,0,0,0,0,0,0,5,25.933333333333334
Crew_10226,6,0,0,0,0,0,0,0,0,0,0,0,0,5,21.333333333333336
Crew_10227,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17.033333333333335
Crew_10228,1,1,0,0,0,0,0,0,0,0,0,0,0,2,5.6
Crew_10229,6,0,0,0,0,0,0,0,0,0,0,0,0,4,18.4
Crew_10230,5,0,0,0,0,0,0,0,0,0,0,0,0,5,31.25
Crew_10231,4,1,0,0,0,0,0,0,0,0,0,0,0,5,30.850000000000005
Crew_10232,3,0,0,0,0,0,0,0,0,0,0,0,0,3,14.95
Crew_10234,5,0,0,0,0,0,0,0,0,0,0,0,0,5,19.950000000000003
Crew_10235,1,0,0,0,0,0,0,0,0,0,0,0,0,3,19.099999999999998
Crew_10236,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9.083333333333332
Crew_10237,6,0,0,0,0,0,0,0,0,0,0,0,0,5,32.18333333333333
Crew_10238,2,2,0,0,0,0,0,0,0,0,0,0,0,2,12.516666666666667
Crew_10239,5,0,0,0,0,0,0,0,0,0,0,0,0,5,31.46666666666666
Crew_10240,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.216666666666669
Crew_10241,6,0,0,0,0,0,0,0,0,0,0,0,0,5,20.299999999999997
Crew_10242,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19.5
Crew_10243,6,0,0,0,0,0,0,0,0,0,0,0,0,5,24.45
Crew_10244,3,2,0,0,0,0,0,0,0,0,0,0,0,3,16.833333333333332
Crew_10245,2,1,0,0,0,0,0,0,0,0,0,0,0,3,17.1
Crew_10246,6,0,0,0,0,0,0,0,0,0,0,0,0,5,22.883333333333336
Crew_10247,4,0,0,0,0,0,0,0,0,0,0,0,0,5,32.46666666666666
Crew_10248,2,2,0,0,0,0,0,0,0,0,0,0,0,3,14.850000000000001
Crew_10249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10250,1,1,0,0,0,0,0,0,0,0,0,0,0,3,15.566666666666666
Crew_10251,3,1,0,0,0,0,0,0,0,0,0,0,0,3,20.783333333333335
Crew_10253,2,2,0,0,0,0,0,0,0,0,0,0,0,3,19.616666666666667
Crew_10256,6,0,0,0,0,0,0,0,0,0,0,0,0,5,21.71666666666667
Crew_10257,5,0,0,0,0,0,0,0,0,0,0,0,0,4,17.349999999999998
Crew_10259,8,0,0,0,0,0,0,0,0,0,0,0,0,5,25.266666666666666
Crew_10260,5,0,0,0,0,0,0,0,0,0,0,0,0,5,31.750000000000004
Crew_10261,2,0,0,0,0,0,0,0,0,0,0,0,0,5,29.299999999999997
Crew_10262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10264,5,0,0,0,0,0,0,0,0,0,0,0,0,5,23.366666666666667
Crew_10265,2,1,0,0,0,0,0,0,0,0,0,0,0,3,18.68333333333333
Crew_10266,5,0,0,0,0,0,0,0,0,0,0,0,0,5,29.583333333333336
Crew_10267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Crew_10268,3,0,0,0,0,0,0,0,0,0,0,0,0,5,31.949999999999996
